2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 54 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 54 bytes
2024-11-25 23:09:54 - TCP - Source: 52.168.117.171, Destination: 192.168.1.200, Size: 54 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 56 bytes
2024-11-25 23:09:54 - TCP - Source: 102.132.97.54, Destination: 192.168.1.200, Size: 56 bytes
2024-11-25 23:09:54 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 162 bytes
2024-11-25 23:09:54 - TCP - Source: 192.168.1.200, Destination: 57.153.124.226, Size: 162 bytes
2024-11-25 23:09:54 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 71 bytes
2024-11-25 23:09:54 - UDP - Source: 192.168.1.200, Destination: 216.58.208.234, Size: 71 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 125 bytes
2024-11-25 23:09:54 - TCP - Source: 102.132.97.54, Destination: 192.168.1.200, Size: 125 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 590 bytes
2024-11-25 23:09:54 - TCP - Source: 57.153.124.226, Destination: 192.168.1.200, Size: 590 bytes
2024-11-25 23:09:54 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 67 bytes
2024-11-25 23:09:54 - UDP - Source: 216.58.208.234, Destination: 192.168.1.200, Size: 67 bytes
2024-11-25 23:09:54 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:54 - TCP - Source: 192.168.1.200, Destination: 57.153.124.226, Size: 66 bytes
2024-11-25 23:09:54 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 54 bytes
2024-11-25 23:09:54 - TCP - Source: 192.168.1.200, Destination: 102.132.97.54, Size: 54 bytes
2024-11-25 23:09:55 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 99 bytes
2024-11-25 23:09:55 - TCP - Source: 192.168.1.200, Destination: 52.70.125.53, Size: 99 bytes
2024-11-25 23:09:55 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 93 bytes
2024-11-25 23:09:55 - TCP - Source: 52.70.125.53, Destination: 192.168.1.200, Size: 93 bytes
2024-11-25 23:09:55 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 54 bytes
2024-11-25 23:09:55 - TCP - Source: 192.168.1.200, Destination: 52.70.125.53, Size: 54 bytes
2024-11-25 23:09:55 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 590 bytes
2024-11-25 23:09:55 - TCP - Source: 57.153.124.226, Destination: 192.168.1.200, Size: 590 bytes
2024-11-25 23:09:55 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:55 - TCP - Source: 192.168.1.200, Destination: 57.153.124.226, Size: 66 bytes
2024-11-25 23:09:56 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 54 bytes
2024-11-25 23:09:56 - TCP - Source: 52.168.117.174, Destination: 192.168.1.200, Size: 54 bytes
2024-11-25 23:09:57 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 1454 bytes
2024-11-25 23:09:57 - TCP - Source: 57.153.124.226, Destination: 192.168.1.200, Size: 1454 bytes
2024-11-25 23:09:57 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:57 - TCP - Source: 192.168.1.200, Destination: 57.153.124.226, Size: 66 bytes
2024-11-25 23:09:57 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 99 bytes
2024-11-25 23:09:57 - TCP - Source: 192.168.1.200, Destination: 52.207.122.56, Size: 99 bytes
2024-11-25 23:09:57 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 93 bytes
2024-11-25 23:09:57 - TCP - Source: 52.207.122.56, Destination: 192.168.1.200, Size: 93 bytes
2024-11-25 23:09:57 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 54 bytes
2024-11-25 23:09:57 - TCP - Source: 192.168.1.200, Destination: 52.207.122.56, Size: 54 bytes
2024-11-25 23:09:57 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 207 bytes
2024-11-25 23:09:57 - TCP - Source: 192.168.1.200, Destination: 149.154.167.91, Size: 207 bytes
2024-11-25 23:09:58 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 56 bytes
2024-11-25 23:09:58 - TCP - Source: 149.154.167.91, Destination: 192.168.1.200, Size: 56 bytes
2024-11-25 23:09:58 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 303 bytes
2024-11-25 23:09:58 - TCP - Source: 149.154.167.91, Destination: 192.168.1.200, Size: 303 bytes
2024-11-25 23:09:58 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 54 bytes
2024-11-25 23:09:58 - TCP - Source: 192.168.1.200, Destination: 149.154.167.91, Size: 54 bytes
2024-11-25 23:09:58 - Ethernet - Source: 34:6f:24:92:c4:5f, Destination: 12:f2:1c:0c:42:9b, Size: 66 bytes
2024-11-25 23:09:58 - TCP - Source: 192.168.1.200, Destination: 185.26.182.106, Size: 66 bytes
2024-11-25 23:09:58 - Ethernet - Source: 12:f2:1c:0c:42:9b, Destination: 34:6f:24:92:c4:5f, Size: 110 bytes
